name,calories,protein,carbohydrate,fat,vitaminc,ingredients
ผัดซีอิ้ว เส้นใหญ่หมู,730,38.6,62.1,35.2,48.75,"wide_rice_noodle,pork, eggs, sugar, peper, garlic, kale, oil, soy sauce,
oyster sauce, baking powder"
ข้าวผัด สับปะรด ใส่กุ้ง ปลาหมึก หมูหยอง,815,54.7,77.8,30.1,38.816,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, eggs, pineapple, shrimp,
squid, dried pork"
หมู หยอง,115,9,11,4,0,dried pork
ข้าวผัด ปลาทู,500,30.8,67.3,12,109.209,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, chili,
mackerel"
ข้าวผัด กุนเชียง,597,23.5,59.7,29.4,19.38575,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, chili, egg
sausage"
ข้าวผัด น้ำพริก,588,24.2,47.9,33.7,35.9495,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, chili, cucumber, mackerel,
shrimp paste, brinjal,
eggplant,
long beans"
ข้าวผัด แฮม กะเพรากรอบ,672,10.7,55.8,45,192.155,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, chilli, ham, butter, peper, basil"
ข้าวผัด กะเพราคลุก,585,26.5,67.9,22.3,29.3612,"rice, fish sauce, soy sauce, garlic, sugar, celery, onions, lime, oil, chilli, pork, butter, peper, basil"
ข้าวผัด อเมริกัน,989,42.6,80.2,54.7,17.8028,"rice, sugar, onion, oil, chilli, pork, peper, salt, carrot, sausage, tomato sauce, bell pepper, soy sauce, raisin, chicken"
ข้าวผัด ปลา กระป๋อง,643,20.2,84.6,24.4,58.585,"rice, sugar, oil, chili,, peper, salt, carrot, soy sauce, mackerel, tomato sauce"
ข้าวผัด แหนม,861,29.4,80,46.9,35.7284,"rice, sugar, oil, chili,, peper, salt, carrot, soy sauce, sour pork, tomato sauce"
ข้าวราด กุ้งทอดกระเทียม,540,34.2,60.2,16.4,4.80815,"rice, garlic, oli, shrimp, soy sauce, oyster sauce, chili, fish sauce, suger"
ข้าวราด หมูกระเทียมพริกไท,618,28,66.6,25.3,6.6909,"rice, garlic, oli, pork, soy sauce, oyster sauce, chili, fish sauce, suger"
ข้าวราด ไก่ทอดกระเทียมพริกไท,774,39.9,80.6,31.5,10.4762,"rice, garlic, oli, chicken, soy sauce, oyster sauce, chili, fish sauce, suger"
ข้าวราด ผัดกะเพรา หมูกรอบ,754,14.3,50.5,54,7.1998,"rice, basil, crispy_pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราด ผัดพริกอ่อน,570,18.6,78,19.6,105.082,"rice, basil, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราด หมูผัดพริกใบมะกรูด,792,38.8,77.8,38.7,113.14,"rice,pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
ข้าวราด กะเพราหมูสับไข่ดาว,594,39.1,54.1,23.8,32.735,"rice, basil, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper, egg"
ข้าวราด แพนงกุ้ง,665,51.7,58.2,23,10.99152,"rice, shrimp, coconut milk, sugar, fish sauce, eggplant, kaffir lime leaves, curry paste"
ไข่ เจียว,409,13.4,6,36.6,0,"oil, egg, fish sauce"
ข้าวราด คะน้าหมูกรอบ,753,11.7,61.7,50.4,22.415,"rice, kale, pork, oil, chili, soy sauce, oyster sauce,sugar, salt, peper"
หมูกรอบ,692,9.8,0.4,71.9,1.05,"pork, oil, salt, vinegar"
ข้าวราด ผัดกระเพราปลากรอบ,502,22.6,51.4,22,17.022,"rice, fish, oil, chili, soy_sauce, oyster_sauce, sugar, salt, peper, basil"
พริกแกง แดง ตราไทยคิดเช่น,20,1,3,0,0,red curry paste
